LGA_CODE_2021,Per_age_15over_C11_M,Per_age_15over_C11_F,Per_age_15over_C11_P,Per_age_15over_C16_M,Per_age_15over_C16_F,Per_age_15over_C16_P,Per_age_15over_C21_M,Per_age_15over_C21_F,Per_age_15over_C21_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Em_FT_C16_M,Lfs_Em_FT_C16_F,Lfs_Em_FT_C16_P,Lfs_Em_FT_C21_M,Lfs_Em_FT_C21_F,Lfs_Em_FT_C21_P,Lfs_Em_PT_C11_M,Lfs_Em_PT_C11_F,Lfs_Em_PT_C11_P,Lfs_Em_PT_C16_M,Lfs_Em_PT_C16_F,Lfs_Em_PT_C16_P,Lfs_Em_PT_C21_M,Lfs_Em_PT_C21_F,Lfs_Em_PT_C21_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Em_AFWr_C16_M,Lfs_Em_AFWr_C16_F,Lfs_Em_AFWr_C16_P,Lfs_Em_AFWr_C21_M,Lfs_Em_AFWr_C21_F,Lfs_Em_AFWr_C21_P,Lfs_Unem_LFW_C11_M,Lfs_Unem_LFW_C11_F,Lfs_Unem_LFW_C11_P,Lfs_Unem_LFW_C16_M,Lfs_Unem_LFW_C16_F,Lfs_Unem_LFW_C16_P,Lfs_Unem_LFW_C21_M,Lfs_Unem_LFW_C21_F,Lfs_Unem_LFW_C21_P,Lfs_Tot_LForc_C11_M,Lfs_Tot_LForc_C11_F,Lfs_Tot_LForc_C11_P,Lfs_Tot_LForc_C16_M,Lfs_Tot_LForc_C16_F,Lfs_Tot_LForc_C16_P,Lfs_Tot_LForc_C21_M,Lfs_Tot_LForc_C21_F,Lfs_Tot_LForc_C21_P,N_LForc_C11_M,N_LForc_C11_F,N_LForc_C11_P,N_LForc_C16_M,N_LForc_C16_F,N_LForc_C16_P,N_LForc_C21_M,N_LForc_C21_F,N_LForc_C21_P,Pcnt_Unemp_C11_M,Pcnt_Unemp_C11_F,Pcnt_Unemp_C11_P,Pcnt_Unemp_C16_M,Pcnt_Unemp_C16_F,Pcnt_Unemp_C16_P,Pcnt_Unemp_C21_M,Pcnt_Unemp_C21_F,Pcnt_Unemp_C21_P,Pcnt_LForc_prt_C11_M,Pcnt_LForc_prt_C11_F,Pcnt_LForc_prt_C11_P,Pcnt_LForc_prt_C16_M,Pcnt_LForc_prt_C16_F,Pcnt_LForc_prt_C16_P,Pcnt_LForc_prt_C21_M,Pcnt_LForc_prt_C21_F,Pcnt_LForc_prt_C21_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,Pcnt_Emp_to_pop_C16_M,Pcnt_Emp_to_pop_C16_F,Pcnt_Emp_to_pop_C16_P,Pcnt_Emp_to_pop_C21_M,Pcnt_Emp_to_pop_C21_F,Pcnt_Emp_to_pop_C21_P,H_no_sc_qu_Po_De_C11_M,H_no_sc_qu_Po_De_C11_F,H_no_sc_qu_Po_De_C11_P,H_no_sc_qu_Po_De_C16_M,H_no_sc_qu_Po_De_C16_F,H_no_sc_qu_Po_De_C16_P,H_no_sc_qu_Po_De_C21_M,H_no_sc_qu_Po_De_C21_F,H_no_sc_qu_Po_De_C21_P,H_n_s_q_Gr_D_G_Ce_C11_M,H_n_s_q_Gr_D_G_Ce_C11_F,H_n_s_q_Gr_D_G_Ce_C11_P,H_n_s_q_Gr_D_G_Ce_C16_M,H_n_s_q_Gr_D_G_Ce_C16_F,H_n_s_q_Gr_D_G_Ce_C16_P,H_n_s_q_Gr_D_G_Ce_C21_M,H_n_s_q_Gr_D_G_Ce_C21_F,H_n_s_q_Gr_D_G_Ce_C21_P,H_n_s_q_BD_C11_M,H_n_s_q_BD_C11_F,H_n_s_q_BD_C11_P,H_n_s_q_BD_C16_M,H_n_s_q_BD_C16_F,H_n_s_q_BD_C16_P,H_n_s_q_BD_C21_M,H_n_s_q_BD_C21_F,H_n_s_q_BD_C21_P,H_n_s_q_AdDip_DL_C11_M,H_n_s_q_AdDip_DL_C11_F,H_n_s_q_AdDip_DL_C11_P,H_n_s_q_AdDip_DL_C16_M,H_n_s_q_AdDip_DL_C16_F,H_n_s_q_AdDip_DL_C16_P,H_n_s_q_AdDip_DL_C21_M,H_n_s_q_AdDip_DL_C21_F,H_n_s_q_AdDip_DL_C21_P,H_n_s_q_Cert_III_IV_C11_M,H_n_s_q_Cert_III_IV_C11_F,H_n_s_q_Cert_III_IV_C11_P,H_n_s_q_Cert_III_IV_C16_M,H_n_s_q_Cert_III_IV_C16_F,H_n_s_q_Cert_III_IV_C16_P,H_n_s_q_Cert_III_IV_C21_M,H_n_s_q_Cert_III_IV_C21_F,H_n_s_q_Cert_III_IV_C21_P,H_n_s_q_Cert_I_II_C11_M,H_n_s_q_Cert_I_II_C11_F,H_n_s_q_Cert_I_II_C11_P,H_n_s_q_Cert_I_II_C16_M,H_n_s_q_Cert_I_II_C16_F,H_n_s_q_Cert_I_II_C16_P,H_n_s_q_Cert_I_II_C21_M,H_n_s_q_Cert_I_II_C21_F,H_n_s_q_Cert_I_II_C21_P,H_n_s_q_Cert_Lev_nfd_C11_M,H_n_s_q_Cert_Lev_nfd_C11_F,H_n_s_q_Cert_Lev_nfd_C11_P,H_n_s_q_Cert_Lev_nfd_C16_M,H_n_s_q_Cert_Lev_nfd_C16_F,H_n_s_q_Cert_Lev_nfd_C16_P,H_n_s_q_Cert_Lev_nfd_C21_M,H_n_s_q_Cert_Lev_nfd_C21_F,H_n_s_q_Cert_Lev_nfd_C21_P,H_n_s_q_Cert_Lev_Tot_C11_M,H_n_s_q_Cert_Lev_Tot_C11_F,H_n_s_q_Cert_Lev_Tot_C11_P,H_n_s_q_Cert_Lev_Tot_C16_M,H_n_s_q_Cert_Lev_Tot_C16_F,H_n_s_q_Cert_Lev_Tot_C16_P,H_n_s_q_Cert_Lev_Tot_C21_M,H_n_s_q_Cert_Lev_Tot_C21_F,H_n_s_q_Cert_Lev_Tot_C21_P,Mi_Liv_SA_1yr_ag_C11_M,Mi_Liv_SA_1yr_ag_C11_F,Mi_Liv_SA_1yr_ag_C11_P,Mi_Liv_SA_1yr_ag_C16_M,Mi_Liv_SA_1yr_ag_C16_F,Mi_Liv_SA_1yr_ag_C16_P,Mi_Liv_SA_1yr_ag_C21_M,Mi_Liv_SA_1yr_ag_C21_F,Mi_Liv_SA_1yr_ag_C21_P,Mi_Liv_DA_1yr_ag_C11_M,Mi_Liv_DA_1yr_ag_C11_F,Mi_Liv_DA_1yr_ag_C11_P,Mi_Liv_DA_1yr_ag_C16_M,Mi_Liv_DA_1yr_ag_C16_F,Mi_Liv_DA_1yr_ag_C16_P,Mi_Liv_DA_1yr_ag_C21_M,Mi_Liv_DA_1yr_ag_C21_F,Mi_Liv_DA_1yr_ag_C21_P,Mi_Liv_SA_5yrs_ag_C11_M,Mi_Liv_SA_5yrs_ag_C11_F,Mi_Liv_SA_5yrs_ag_C11_P,Mi_Liv_SA_5yrs_ag_C16_M,Mi_Liv_SA_5yrs_ag_C16_F,Mi_Liv_SA_5yrs_ag_C16_P,Mi_Liv_SA_5yrs_ag_C21_M,Mi_Liv_SA_5yrs_ag_C21_F,Mi_Liv_SA_5yrs_ag_C21_P,Mi_Liv_DA_5yrs_ag_C11_M,Mi_Liv_DA_5yrs_ag_C11_F,Mi_Liv_DA_5yrs_ag_C11_P,Mi_Liv_DA_5yrs_ag_C16_M,Mi_Liv_DA_5yrs_ag_C16_F,Mi_Liv_DA_5yrs_ag_C16_P,Mi_Liv_DA_5yrs_ag_C21_M,Mi_Liv_DA_5yrs_ag_C21_F,Mi_Liv_DA_5yrs_ag_C21_P
LGA13310,11121,11142,22261,12172,12063,24236,13150,13120,26268,4881,2785,7666,5029,2835,7859,5429,3375,8798,1155,2554,3707,1325,2793,4123,1529,2996,4525,403,341,746,360,385,741,470,554,1024,403,336,740,461,381,851,351,287,641,6844,6014,12855,7170,6399,13572,7785,7204,14988,3713,4602,8314,4144,4706,8853,4496,5086,9585,5.9,5.6,5.7,6.5,6,6.3,4.5,4,4.3,61.5,54,57.7,58.9,53,56,59.2,54.9,57.1,57.9,50.9,54.4,55.1,49.8,52.5,56.5,52.7,54.6,163,164,324,235,271,505,337,422,758,95,164,260,131,216,340,152,324,475,665,944,1606,761,1177,1934,955,1534,2490,592,946,1543,804,1267,2067,906,1465,2377,2866,1299,4163,3262,1638,4905,3639,2058,5695,131,238,373,122,209,326,117,224,344,139,315,450,192,383,571,226,368,594,3133,1857,4989,3578,2225,5807,3986,2648,6637,10786,11012,21797,11009,11114,22123,12164,12396,24558,1828,1933,3760,2005,2080,4084,2239,2296,4542,7260,7409,14673,7331,7361,14695,8086,8045,16134,4506,4772,9280,5032,5222,10252,5535,5913,11451
LGA13340,3880,3856,7736,4053,4064,8117,4491,4416,8911,1987,860,2845,1871,860,2731,1951,1023,2978,377,1046,1420,442,1125,1567,491,1183,1670,151,137,291,142,171,311,176,183,355,99,92,192,117,109,221,90,60,150,2617,2140,4750,2574,2260,4834,2703,2452,5152,1060,1515,2576,1196,1493,2697,1394,1589,2981,3.9,4.3,4.1,4.5,4.7,4.6,3.4,2.5,2.9,67.5,55.4,61.4,63.5,55.6,59.5,60.2,55.5,57.9,64.8,53,58.9,60.6,53,56.8,58.1,54.1,56.2,38,45,83,51,80,125,78,107,186,29,58,85,24,71,101,33,103,137,211,372,584,252,454,707,299,597,895,196,349,540,260,446,709,263,461,719,1035,456,1491,1133,560,1691,1229,680,1910,36,93,136,42,78,113,46,73,122,47,83,128,63,138,198,54,104,154,1121,634,1757,1235,771,2008,1334,858,2190,4185,4053,8235,4270,4146,8413,4474,4283,8758,482,537,1020,490,552,1043,608,649,1266,3077,2886,5963,3100,2906,6010,3164,2981,6139,1308,1436,2750,1390,1557,2949,1655,1706,3365
LGA13450,9359,9524,18880,10076,10197,20279,10908,10917,21827,4786,2355,7138,4994,2586,7579,5712,3188,8895,928,2379,3310,1001,2495,3495,1205,2859,4070,389,380,765,302,332,638,325,404,729,301,278,578,337,250,583,241,186,423,6405,5388,11793,6637,5666,12299,7481,6634,14114,2234,3476,5711,2403,3446,5851,2459,3389,5847,4.7,5.1,4.9,5.1,4.4,4.8,3.2,2.8,3,68.4,56.6,62.5,65.8,55.5,60.7,68.6,60.7,64.7,65.2,53.7,59.4,62.5,53.1,57.8,66.4,59.1,62.7,111,95,207,142,148,289,234,279,516,48,105,147,63,138,205,68,187,252,537,855,1393,637,995,1632,887,1347,2237,341,621,962,437,776,1212,582,883,1466,2223,942,3166,2460,1140,3596,2608,1345,3955,68,215,282,69,183,251,73,200,270,82,209,291,119,280,399,137,270,410,2374,1368,3737,2645,1601,4247,2819,1815,4634,9737,9836,19572,9568,9623,19187,10722,10734,21456,1504,1471,2979,1622,1644,3266,1519,1526,3045,6648,6688,13338,6769,6754,13519,7068,7127,14199,3779,3845,7628,3837,3934,7768,4464,4427,8891
LGA13550,4706,4803,9513,4797,4887,9685,4940,5096,10037,2292,1036,3326,2340,1130,3473,2444,1370,3818,443,1157,1596,450,1140,1588,471,1208,1679,173,131,302,154,162,318,170,206,377,160,169,333,165,155,311,132,131,259,3069,2494,5561,3107,2580,5689,3219,2918,6134,1304,1974,3281,1293,1918,3213,1241,1751,2988,5.3,6.8,6,5.3,5.8,5.5,4,4.5,4.2,65.2,51.9,58.5,64.8,52.9,58.8,65.1,57.2,61.1,61.7,48.4,55,61.4,49.8,55.5,62.5,54.7,58.5,25,33,64,53,62,114,76,100,176,19,58,76,21,73,101,29,92,121,243,399,642,280,490,770,313,593,904,178,324,508,208,446,654,208,458,664,1125,557,1681,1258,618,1883,1377,821,2197,53,121,176,58,94,146,62,94,151,39,105,149,84,152,233,74,139,211,1219,789,2009,1401,867,2267,1508,1055,2565,4767,4768,9539,4657,4644,9302,4861,4903,9760,825,840,1663,831,856,1684,863,928,1793,3282,3188,6471,3113,3042,6154,3197,3165,6360,1904,2015,3915,1982,2108,4090,2154,2320,4473
LGA13660,2016,2001,4019,2141,2139,4281,2003,2041,4047,928,443,1371,887,435,1327,814,427,1236,135,392,524,183,442,621,167,442,607,66,66,133,66,70,133,54,59,107,57,59,109,45,57,106,50,39,85,1187,957,2137,1177,1010,2187,1080,959,2041,761,990,1750,735,925,1656,736,896,1632,4.6,5.8,5.1,3.9,6,4.9,4.5,3.9,4.2,58.6,47.6,53.1,55,47.1,51.1,53.8,47.1,50.4,55.9,44.9,50.4,52.8,44.3,48.6,51.4,45.3,48.3,10,21,28,12,15,30,24,31,55,11,23,31,12,26,34,9,31,39,82,160,238,98,211,305,102,234,338,73,152,221,92,194,287,81,183,265,384,236,623,427,248,668,442,264,712,20,42,59,19,31,55,25,35,58,19,40,58,28,47,77,36,41,76,416,317,735,470,324,795,504,339,846,2135,2085,4225,2033,1969,4004,1933,1944,3880,272,300,572,287,310,609,238,256,492,1588,1543,3128,1512,1458,2967,1424,1449,2878,675,693,1366,683,704,1387,660,665,1315
LGA13800,24198,24783,48985,25328,26393,51720,26791,27572,54359,13286,6972,20258,13558,7537,21095,11565,7097,18658,2568,6462,9030,2847,6804,9649,3818,6673,10495,990,906,1890,773,816,1586,1996,2216,4210,732,784,1513,684,757,1445,614,498,1109,17566,15117,32685,17862,15910,33774,17991,16479,34476,5342,8526,13866,5924,8894,14816,7462,9811,17279,4.1,5.2,4.6,3.8,4.8,4.3,3.4,3,3.2,72.6,61,66.7,70.5,60.3,65.3,67.2,59.8,63.4,69.6,57.9,63.6,67.8,57.4,62.5,64.9,58,61.4,442,472,909,555,715,1275,770,1162,1936,171,383,547,215,491,708,259,661,918,1535,2625,4160,1652,3129,4782,2069,3694,5764,1591,2421,4011,1856,2987,4841,2021,3392,5408,7621,2946,10567,8343,3609,11952,8928,4094,13024,237,522,761,192,502,698,203,558,755,286,680,971,473,812,1286,438,797,1237,8155,4151,12299,9010,4927,13939,9574,5444,15017,25620,25860,51478,25332,25940,51275,27526,27752,55269,3541,3611,7151,3737,3846,7578,3977,4129,8107,17925,18034,35956,17632,17873,35506,18902,19058,37963,9336,9674,19011,10248,10808,21061,10781,11145,21926
LGA13850,1188,1174,2361,1223,1208,2428,1211,1205,2417,560,258,819,546,258,806,524,269,793,103,285,388,118,279,397,117,289,407,53,51,105,56,43,95,41,46,84,30,18,53,35,25,64,29,18,54,747,617,1353,751,603,1355,713,621,1337,375,510,880,318,452,768,336,445,778,4.3,2.9,3.7,4.9,4.1,4.6,4.3,3.2,3.8,62.7,52.2,57.5,61.4,50.1,55.8,59,51.8,55.4,60,50.6,55.3,58.3,48.1,53.2,56.4,50.1,53.3,5,3,8,13,10,18,5,16,22,4,14,16,8,17,19,3,26,29,46,88,136,48,97,140,62,87,147,50,67,117,58,96,153,58,99,158,233,106,342,251,132,384,276,164,443,3,27,30,7,29,39,8,22,31,11,22,30,10,20,34,9,9,23,250,156,408,272,183,460,294,199,498,1223,1223,2447,1130,1097,2229,1082,1078,2160,185,184,366,154,168,321,156,169,326,919,920,1840,831,804,1636,800,790,1589,391,405,800,392,405,800,378,391,766
LGA13910,6984,7361,14348,7230,7656,14887,7579,8033,15611,3134,1466,4600,3003,1552,4550,3072,1719,4793,720,1684,2399,790,1761,2551,811,1866,2680,251,249,500,239,226,465,263,318,582,263,202,462,241,200,447,202,173,370,4366,3595,7962,4272,3737,8004,4348,4075,8424,2256,3399,5650,2426,3319,5741,2583,3331,5912,6,5.5,5.8,5.7,5.4,5.5,4.6,4.2,4.4,62.6,48.8,55.5,59.1,48.8,53.8,57.4,50.7,54,58.8,46.1,52.3,55.7,46.2,50.8,54.7,48.6,51.6,67,57,121,79,103,175,138,160,299,46,85,131,48,96,136,36,123,159,352,641,992,389,774,1158,459,917,1369,295,552,846,349,691,1041,398,768,1164,1758,782,2537,1895,912,2808,1944,1113,3055,60,140,199,76,153,225,81,153,235,82,141,227,108,226,339,125,200,322,1903,1065,2968,2079,1289,3367,2140,1470,3615,7228,7500,14731,7171,7359,14532,7507,7796,15297,1149,1228,2375,1114,1215,2328,1058,1114,2173,5167,5293,10456,5152,5228,10376,5218,5372,10594,2646,2869,5515,2693,2965,5656,2845,3100,5945
LGA14000,52982,57203,110187,55231,59563,114794,59362,63592,122954,27859,15778,43644,28214,16705,44918,26942,18305,45247,6881,15029,21904,7446,15445,22890,8357,14457,22812,1595,1899,3495,1260,1729,2986,3031,3722,6744,1782,1544,3327,1807,1761,3574,1740,1463,3210,38113,34253,72369,38728,35640,74367,40071,37943,78017,13138,21100,34237,14390,21451,35841,17418,23425,40843,4.7,4.5,4.6,4.7,5,4.8,4.4,3.9,4.1,71.9,59.9,65.7,70.1,59.8,64.8,67.5,59.7,63.5,68.6,57.2,62.7,66.8,56.9,61.7,64.6,57.4,60.8,5219,3871,9090,6693,5687,12378,8804,8001,16802,1131,1739,2870,1313,2013,3328,1497,2406,3898,11826,13073,24907,13161,15185,28348,15601,18077,33678,5086,7054,12140,5171,6974,12147,5469,7281,12755,8517,3559,12076,8090,3594,11685,7967,3939,11905,406,659,1068,331,583,915,377,633,1008,780,1480,2260,970,1795,2765,1018,1756,2774,9700,5706,15407,9393,5974,15367,9351,6333,15685,56849,59964,116817,56998,60025,117020,62519,65237,127757,7415,7808,15227,8281,8809,17091,9135,9297,18430,39325,41457,80784,39894,41968,81858,43060,44962,88022,20981,22436,43420,22951,24453,47403,25250,26336,51583
LGA14100,5174,5524,10693,5552,5798,11350,5372,5870,11237,2423,1375,3799,2449,1519,3967,2228,1440,3665,574,1221,1792,655,1308,1966,762,1186,1948,117,181,298,142,161,306,289,328,611,116,104,220,118,106,226,106,113,217,3235,2875,6107,3363,3100,6462,3383,3057,6439,1729,2430,4162,1900,2393,4292,1680,2360,4042,3.6,3.7,3.6,3.5,3.4,3.5,3.1,3.6,3.3,62.4,52.1,57.1,60.6,53.5,56.9,62.9,52.1,57.3,60.2,50.2,55,58.4,51.6,55,61,50.2,55.4,576,458,1038,655,568,1224,770,714,1483,98,168,267,110,208,311,124,236,360,1291,1366,2657,1388,1544,2931,1578,1633,3211,410,695,1107,395,669,1061,407,681,1090,513,232,749,537,250,789,485,241,725,35,52,82,18,48,68,26,52,79,52,111,163,86,160,251,81,139,222,597,389,986,640,460,1105,597,438,1028,5339,5559,10895,5494,5629,11130,5458,5626,11086,910,815,1726,916,799,1713,723,770,1493,3402,3765,7164,3446,3768,7219,3845,4083,7932,2492,2235,4722,2708,2392,5102,2118,2077,4195
LGA14170,69146,74529,143680,74418,79709,154133,75515,80601,156117,35233,28102,63333,37795,30015,67813,35096,30520,65611,8824,15377,24196,10166,17224,27389,10933,16111,27039,2157,2812,4969,1855,2521,4376,4379,5175,9555,2693,2244,4933,2605,2418,5019,2497,2125,4623,48901,48532,97436,52415,52183,104595,52905,53925,106832,15000,21231,36237,16055,21705,37761,18679,23063,41745,5.5,4.6,5.1,5,4.6,4.8,4.7,3.9,4.3,70.7,65.1,67.8,70.4,65.5,67.9,70.1,66.9,68.4,66.8,62.1,64.4,66.9,62.4,64.6,66.7,64.3,65.5,6552,7449,13999,8132,9847,17983,9782,12287,22071,1492,2735,4223,1798,3091,4894,2070,3513,5577,15873,19650,35518,18712,22680,41392,21873,25787,47658,5835,7315,13152,6126,7635,13761,6517,7714,14231,8216,3893,12111,8348,4008,12355,8047,4127,12178,453,694,1143,398,593,987,461,663,1117,727,1146,1871,1003,1443,2448,1050,1423,2470,9391,5732,15125,9753,6043,15796,9557,6210,15767,62083,66032,128117,63692,67533,131224,67026,70596,137623,13528,15127,28655,15494,16327,31810,17048,18245,35294,36935,39732,76670,39229,41894,81118,41179,44334,85516,33591,36388,69983,37213,39330,76549,38974,40895,79865
LGA14220,6560,6898,13458,6806,7148,13959,7042,7390,14430,2755,1484,4246,2511,1437,3948,2625,1631,4251,599,1424,2022,797,1501,2301,742,1602,2340,193,197,392,191,242,433,220,258,470,303,244,548,305,245,554,260,209,469,3851,3347,7200,3816,3428,7239,3839,3693,7534,2331,3157,5491,2393,3141,5539,2491,3034,5524,7.9,7.3,7.6,8.1,7.2,7.7,6.8,5.6,6.2,58.8,48.5,53.5,56,47.9,51.9,54.6,50,52.2,54.1,45,49.5,51.5,44.5,47.9,50.9,47.2,49,35,43,82,40,65,107,60,100,162,42,104,146,42,84,131,44,123,164,306,563,869,308,669,977,383,747,1130,253,434,686,310,562,873,348,621,966,1541,785,2331,1728,972,2701,1804,1170,2975,70,134,205,69,128,206,81,159,234,84,154,237,128,202,330,87,195,278,1701,1073,2768,1929,1306,3236,1970,1523,3487,6777,7018,13795,6493,6711,13199,6556,6802,13363,1217,1349,2568,1169,1249,2420,1212,1272,2488,4631,4740,9367,4641,4702,9345,4569,4696,9265,2798,3040,5841,2560,2825,5379,2741,2979,5723
LGA14300,2738,2006,4746,2998,2179,5173,3128,2236,5363,949,458,1402,965,527,1489,1077,529,1608,178,420,593,212,478,691,193,525,721,81,75,155,61,71,135,81,100,180,59,56,112,56,57,114,75,42,112,1264,999,2269,1299,1139,2437,1424,1195,2629,1350,902,2247,1474,836,2312,1543,904,2445,4.7,5.3,5,4.5,5,4.7,5,3.6,4.4,46.2,49.9,47.8,43.3,52.2,47.1,45.6,53.6,49,44,47.3,45.4,41.4,49.6,44.8,43.3,51.7,46.8,20,28,45,13,39,51,20,43,63,11,19,28,12,24,35,19,48,63,92,165,255,115,202,326,126,256,384,94,124,219,94,182,276,124,199,325,471,273,743,575,278,851,632,376,1010,13,40,55,30,62,90,36,44,78,33,50,85,34,68,105,36,64,96,521,359,880,634,407,1048,701,486,1191,2081,2046,4125,2085,2082,4168,2246,2214,4456,344,347,689,308,326,635,373,329,700,1538,1490,3028,1532,1488,3023,1541,1536,3076,704,724,1424,740,786,1529,939,869,1808
LGA14350,11288,11372,22661,11941,11976,23914,12864,12745,25614,3159,1833,4987,3068,1806,4874,3268,2210,5479,1277,2385,3670,1336,2478,3811,1579,2732,4311,362,346,709,399,373,773,407,474,881,576,335,912,513,372,886,490,343,827,5366,4903,10268,5318,5025,10342,5738,5760,11495,5305,5894,11189,5549,5858,11401,6177,5972,12151,10.7,6.9,8.9,9.7,7.4,8.6,8.5,5.9,7.2,47.6,43.1,45.3,44.5,42,43.3,44.6,45.2,44.9,42.5,40.2,41.3,40.2,38.9,39.6,40.8,42.5,41.7,75,88,161,94,142,244,136,216,356,73,133,211,67,142,208,100,224,320,506,799,1308,551,955,1503,684,1251,1940,437,816,1249,514,984,1504,609,1193,1804,2972,1317,4287,3253,1599,4854,3609,2048,5655,126,268,390,160,250,410,139,264,407,140,298,437,206,406,612,191,370,562,3234,1884,5118,3620,2252,5867,3940,2678,6621,11172,11399,22572,10713,10933,21641,11607,12027,23636,1630,1785,3417,1679,1824,3503,1696,1760,3451,7962,7965,15920,7816,7807,15622,7991,8116,16108,4020,4372,8386,3988,4336,8321,4613,5037,9650
LGA14400,7967,8511,16476,8647,9202,17852,9238,10036,19277,3492,1761,5254,3572,1814,5385,3559,1893,5448,1031,2275,3307,1133,2412,3545,1237,2583,3820,326,302,627,243,309,552,404,539,941,219,194,418,237,195,438,187,173,361,5067,4533,9604,5190,4734,9927,5388,5185,10573,2577,3713,6288,2926,3866,6791,3377,4356,7732,4.3,4.3,4.3,4.6,4.1,4.4,3.5,3.3,3.4,63.6,53.3,58.3,60,51.4,55.6,58.3,51.7,54.9,60.9,51,55.8,57.2,49.3,53.1,56.3,49.9,53,321,303,620,419,434,844,596,705,1299,154,289,445,170,360,534,233,479,707,1105,1330,2432,1309,1641,2948,1691,2115,3805,743,1051,1792,882,1189,2073,930,1344,2278,2261,854,3117,2367,924,3289,2506,999,3507,66,148,209,55,133,192,79,176,257,103,258,370,176,356,527,187,361,551,2430,1266,3697,2595,1417,4011,2781,1536,4317,8092,8454,16545,8392,8614,17006,9217,9674,18896,1298,1376,2678,1223,1328,2557,1355,1495,2846,5749,5974,11720,5739,5950,11693,6372,6621,12989,3171,3460,6634,3550,3735,7283,3689,4096,7781
LGA14500,40765,46015,86785,44367,49828,94191,47410,52508,99922,20000,10601,30598,21427,12873,34301,21054,14121,35175,5392,11822,17214,6085,12403,18485,6815,11559,18373,1095,1393,2492,927,1211,2136,2090,2948,5037,1254,1071,2327,1444,1262,2705,1438,1135,2572,27744,24886,52632,29885,27745,57631,31393,29764,61155,11558,19455,31006,12808,20033,32848,14849,21343,36191,4.5,4.3,4.4,4.8,4.5,4.7,4.6,3.8,4.2,68.1,54.1,60.6,67.4,55.7,61.2,66.2,56.7,61.2,65,51.8,58,64.1,53.2,58.3,63.2,54.5,58.6,5911,3940,9855,7426,5882,13303,9300,8228,17532,916,1511,2432,1132,1796,2929,1376,2172,3549,12499,12762,25259,13786,15090,28873,15473,17073,32538,3520,5780,9300,3513,5478,8990,3650,5656,9307,3051,1491,4542,3021,1591,4608,2968,1656,4623,199,366,565,165,304,466,201,358,559,532,1003,1535,687,1324,2014,685,1222,1909,3783,2861,6644,3873,3220,7090,3857,3235,7088,43307,47233,90540,45748,49468,95212,50188,53805,103997,6719,7479,14193,7504,8113,15625,7888,8501,16387,29516,32239,61757,30103,32906,63002,34125,36748,70869,17888,19883,37769,21484,23176,44662,21449,23133,44589
LGA14550,3747,3721,7465,3792,3684,7479,3912,3967,7875,1290,670,1958,1169,601,1770,1157,693,1847,429,830,1257,458,802,1261,507,913,1422,111,99,208,115,91,200,128,125,251,209,145,352,180,129,310,123,94,220,2031,1741,3772,1925,1627,3547,1918,1815,3740,1503,1809,3310,1494,1748,3242,1605,1756,3364,10.1,8.3,9.3,9.4,8,8.8,6.6,5.1,5.8,54.2,46.9,50.6,50.8,44,47.5,49.1,45.9,47.5,48.7,43,45.9,46,40.5,43.3,45.8,43.6,44.7,47,38,79,50,54,104,71,84,154,38,66,107,30,73,104,45,92,133,229,361,586,233,381,611,278,497,775,166,323,491,190,358,546,232,447,678,848,385,1235,871,460,1334,951,563,1511,32,72,104,38,75,116,50,89,140,49,86,141,78,115,194,66,99,170,930,542,1476,985,652,1645,1068,752,1820,3822,3772,7593,3539,3434,6978,3623,3636,7262,550,586,1131,472,504,973,487,544,1034,2779,2709,5490,2693,2566,5259,2627,2540,5168,1323,1390,2715,1145,1215,2363,1309,1459,2766
LGA14600,2594,2570,5160,2436,2478,4910,2377,2418,4797,1242,613,1857,1066,500,1565,1052,552,1610,228,587,816,188,522,715,216,543,758,96,105,201,95,102,195,75,81,160,91,60,149,100,87,188,73,62,144,1648,1364,3013,1450,1209,2658,1424,1245,2664,783,1080,1862,694,1006,1696,680,885,1570,5.4,4.1,4.8,6.8,7.2,7,5.4,5.1,5.2,63.7,53.1,58.4,59.5,48.8,54.1,59.9,51.4,55.6,60.3,50.9,55.6,55.5,45.3,50.3,56.7,48.8,52.7,10,21,28,15,20,37,35,42,78,12,38,49,8,47,51,13,45,54,94,238,332,82,226,305,107,248,359,92,185,277,85,181,265,84,194,275,468,225,692,474,242,717,484,280,764,36,57,94,30,56,89,23,39,60,35,49,78,39,48,89,49,51,95,541,326,867,546,351,898,555,372,923,2744,2727,5472,2365,2374,4742,2300,2253,4555,361,378,735,321,342,661,333,348,685,2054,2007,4062,1729,1691,3419,1702,1637,3339,808,877,1688,762,854,1615,779,816,1594
